,Address,City,Owner Name,Mailing Address,Price,Number of Units,Total area,Number Of Stories,Lot Size,Type,Year Built,location,point,latitude,longitude,altitude
6764,"US-20 & S Pine Street, Sisters, OR, 97759","Sisters, OR 97759 ·",,,8000000.0, , , ,66.57 AC,Land, ,"US-20 & S Pine St, Sisters, OR 97759, USA","['44.2913372', '-121.5537869', '0.0']",44.2913372,-121.5537869,0.0
6765,"NW Cornell Rd. & NW Miller Rd., Portland, OR, 97229","Portland, OR 97229 ·",,,6650000.0, , , ,15 AC,Land, ,"NW Cornell Rd & NW Miller Rd, Portland, OR 97229, USA","['45.5297692', '-122.762572', '0.0']",45.5297692,-122.762572,0.0
6766,"2005 NE 238th Drive, Wood Village, OR, 97060","Wood Village, OR 97060 ·",,,6000000.0, , , ,5.74 AC,Land, ,"2005 NE 238th Dr, Wood Village, OR 97060, USA","['45.5373229', '-122.4186965', '0.0']",45.5373229,-122.4186965,0.0
6767,"16415 NW Brugger Rd, Portland, OR, 97229","Portland, OR 97229 ·",,,7910000.0, , , ,8.49 AC,Land, ,"16415 NW Brugger Rd, Portland, OR 97229, USA","['45.5700456', '-122.8464194', '0.0']",45.5700456,-122.8464194,0.0
6768,"198 Commercial Street SE, Salem, OR, 97301","Salem, OR 97301 ·",,,6250000.0, ,39408,2,0.46 AC,Office,1956,"198 Commercial St SE, Salem, OR 97301, USA","['44.9395844', '-123.0403943', '0.0']",44.9395844,-123.0403943,0.0
6769,"1531-1585 N. Pacific Highway, Woodburn, OR, 97071","Woodburn, OR 97071 ·",,,3800000.0, , , ,2.91 AC,Retail, ,"1531 N Pacific Hwy, Woodburn, OR 97071, USA","['45.1503785', '-122.8333404', '0.0']",45.1503785,-122.8333404,0.0
6770,"2800 Pringle Rd SE, Salem, OR, 97302","Salem, OR 97302 ·",,,8750000.0, ,102000,1,7.24 AC,Industrial,1957,"2800 Pringle Rd SE, Salem, OR 97302, USA","['44.9127968', '-123.0259776', '0.0']",44.9127968,-123.0259776,0.0
6771,"5860 NE Cornell Road, Hillsboro, OR, 97124","Hillsboro, OR 97124 ·",,,5382000.0, ,7500,1,"30,492 SF",Retail,1998,"5860 NE Cornell Rd, Hillsboro, OR 97124, USA","['45.53340010000001', '-122.9222366', '0.0']",45.53340010000001,-122.9222366,0.0
6772,"Highway 22 and Kuebler Blvd., Salem, OR, 97317","Salem, OR 97317 ·",,,5820000.0, , , ,2 - 90 AC,Land, ,"130 50th Ave NW, Salem, OR 97304, USA","['44.932787', '-123.1289582', '0.0']",44.932787,-123.1289582,0.0
6773,"7410 NE M L King Blvd, Portland, OR, 97211","Portland, OR 97211 ·",,,4542056.0, ,9000, , ,Office, ,"7410 NE Martin Luther King Jr Blvd, Portland, OR 97211, USA","['45.5766435', '-122.6610753', '0.0']",45.5766435,-122.6610753,0.0
6774,"Hearthstone Lane & Magnolia Lane, Bend, OR, 97702","Bend, OR 97702 ·",,,8515000.0, , , ,39.09 AC,Land, ,"Magnolia Ln & Hearthstone Ln, Oregon 97702, USA","['44.018816', '-121.2691141', '0.0']",44.018816,-121.2691141,0.0
6775,"16205 NW Gillihan, Portland, OR, 97231","Portland, OR 97231 ·",,,4250000.0, , , ,97.20 AC,Agricultural, ,"16205 NW Gillihan Rd, Portland, OR 97231, USA","['45.6391679', '-122.7945428', '0.0']",45.6391679,-122.7945428,0.0
6776,"3970-3990 Rickey St SE, Salem, OR, 97317","Salem, OR 97317 ·",,,4890000.0, ,28445,1,2.55 AC,Retail,1999,"3970 Rickey St SE, Salem, OR 97317, USA","['44.914117', '-122.9809729', '0.0']",44.914117,-122.9809729,0.0
6777,"28788 Hunter Creek Loop, Gold Beach, OR, 97444","Gold Beach, OR 97444 ·",,,4800000.0, , , ,17.53 SF,Multifamily, ,"28788 Hunter Creek Loop, Gold Beach, OR 97444, USA","['42.389123', '-124.415703', '0.0']",42.389123,-124.415703,0.0
6778,"3875 S Liberty Rd, Salem, OR, 97302","Salem, OR 97302 ·",,,3150000.0,36,26570,2,1.18 AC,Multifamily,1972,"3875 Liberty Rd S, Salem, OR 97302, USA","['44.8998541', '-123.0544018', '0.0']",44.8998541,-123.0544018,0.0
6779,"2151 Owen Drive, Medford, OR, 97504","Medford, OR 97504 ·",,,3160000.0, , , ,2.84 AC,Land, ,"2151 Owen Dr, Medford, OR 97504, USA","['42.368084', '-122.854091', '0.0']",42.368084,-122.854091,0.0
6780,"1525-1585 N. Central Avenue, Medford, OR, 97501","Medford, OR 97501 ·",,,2790671.0, , , ,1 - 9.85 AC,Land, ,"1525 N Central Ave, Medford, OR 97501, USA","['42.340634', '-122.886385', '0.0']",42.340634,-122.886385,0.0
6781,"233 SW Wilson Avenue, Bend, OR, 97702","Bend, OR 97702 ·",,,7090000.0, ,21696,3,1.24 AC,Office,2003,"233 SW Wilson Ave, Bend, OR 97702, USA","['44.0460527', '-121.3109505', '0.0']",44.0460527,-121.3109505,0.0
6782,"990 Owen Loop North, Eugene, OR, 97402","Eugene, OR 97402 ·",,,10000000.0, ,100515, ,8.53 AC,Industrial, ,"990 Owen Loop N, Eugene, OR 97402, USA","['44.0522667', '-123.1931248', '0.0']",44.0522667,-123.1931248,0.0
